Country	crop	Year	Imports	kcal.d.p	prot.d.p
Colombia	Rice	2006	194000	38,16219178	0,74
Colombia	Rice	2007	133000	26,16273973	0,51
Colombia	Rice	2008	29000	5,704657534	0,11
Colombia	Rice	2009	102000	20,06465753	0,39
Colombia	Rice	2010	10000	1,967123288	0,04
Colombia	Rice	2011	63000	12,39287671	0,24
Colombia	Rice	2012	171000	33,63780822	0,65
Colombia	Rice	2013	220000	43,27671233	0,84
Colombia	Rice	2014	138000	27,14630137	0,52
Colombia	Rice	2015	439000	86,35671233	1,67
Colombia	Rice	2016	446000	87,73369863	1,70
Colombia	Rice	2017	171000	33,63780822	0,65
Colombia	Rice	2018	202000	39,73589041	0,77
Colombia	Rice	2019	297000	58,42356164	1,13
Colombia	Rice	2020	344000	67,6690411	1,31
Colombia	Rice	2021	46000	9,048767123	0,17
Colombia	Maize	2006	3252000	650,4	13,47
Colombia	Maize	2007	3345000	669	13,86
Colombia	Maize	2008	3358000	671,6	13,91
Colombia	Maize	2009	3253000	650,6	13,48
Colombia	Maize	2010	3625000	725	15,02
Colombia	Maize	2011	3242000	648,4	13,43
Colombia	Maize	2012	3468000	693,6	14,37
Colombia	Maize	2013	3652000	730,4	15,13
Colombia	Maize	2014	3981000	796,2	16,49
Colombia	Maize	2015	4730000	946	19,59
Colombia	Maize	2016	4599000	919,8	19,05
Colombia	Maize	2017	4945000	989	20,48
Colombia	Maize	2018	5425000	1085	22,47
Colombia	Maize	2019	6007000	1201,4	24,88379178
Colombia	Maize	2020	6176000	1235,2	25,58386849
Colombia	Maize	2021	6066000	1213,2	25,12819726
