Country	crop 	Year	Imports
Colombia	Rice	2006	194000
Colombia	Rice	2007	133000
Colombia	Rice	2008	29000
Colombia	Rice	2009	102000
Colombia	Rice	2010	10000
Colombia	Rice	2011	63000
Colombia	Rice	2012	171000
Colombia	Rice	2013	220000
Colombia	Rice	2014	138000
Colombia	Rice	2015	439000
Colombia	Rice	2016	446000
Colombia	Rice	2017	171000
Colombia	Rice	2018	202000
Colombia	Rice	2019	297000
Colombia	Rice	2020	344000
Colombia	Rice	2021	46000
Colombia	Maize	2006	3252000
Colombia	Maize	2007	3345000
Colombia	Maize	2008	3358000
Colombia	Maize	2009	3253000
Colombia	Maize	2010	3625000
Colombia	Maize	2011	3242000
Colombia	Maize	2012	3468000
Colombia	Maize	2013	3652000
Colombia	Maize	2014	3981000
Colombia	Maize	2015	4730000
Colombia	Maize	2016	4599000
Colombia	Maize	2017	4945000
Colombia	Maize	2018	5425000
Colombia	Maize	2019	6007000
Colombia	Maize	2020	6176000
Colombia	Maize	2021	6066000
