culti	gr.culti	muni	mes	anho	precio
Ahuyama	HORTALIZAS	BARRANQUILLA	Abril	2015	482
Arveja verde en vaina	HORTALIZAS	BARRANQUILLA	Abril	2015	4750
Cebolla cabezona blanca	HORTALIZAS	BARRANQUILLA	Abril	2015	1130
Cebolla junca	HORTALIZAS	BARRANQUILLA	Abril	2015	NA
Chocolo mazorca	HORTALIZAS	BARRANQUILLA	Abril	2015	739
Habichuela	HORTALIZAS	BARRANQUILLA	Abril	2015	1280
Pepino cohombro	HORTALIZAS	BARRANQUILLA	Abril	2015	906
Pimenton	HORTALIZAS	BARRANQUILLA	Abril	2015	1250
Remolacha	HORTALIZAS	BARRANQUILLA	Abril	2015	874
Tomate	HORTALIZAS	BARRANQUILLA	Abril	2015	1315
Zanahoria	HORTALIZAS	BARRANQUILLA	Abril	2015	791
Aguacate	FRUTALES	BARRANQUILLA	Abril	2015	5027
Banano	FRUTALES	BARRANQUILLA	Abril	2015	535
Coco	FRUTALES	BARRANQUILLA	Abril	2015	1750
Granadilla	FRUTALES	BARRANQUILLA	Abril	2015	4425
Guayaba pera	FRUTALES	BARRANQUILLA	Abril	2015	1750
Limon tahiti	FRUTALES	BARRANQUILLA	Abril	2015	1914
Lulo	FRUTALES	BARRANQUILLA	Abril	2015	2850
Mandarina	FRUTALES	BARRANQUILLA	Abril	2015	1596
Mango Tommy	FRUTALES	BARRANQUILLA	Abril	2015	1700
Manzana royal gala	FRUTALES	BARRANQUILLA	Abril	2015	4001
Maracuya	FRUTALES	BARRANQUILLA	Abril	2015	1827
Mora de Castilla	FRUTALES	BARRANQUILLA	Abril	2015	4240
Naranja Valencia	FRUTALES	BARRANQUILLA	Abril	2015	1043
Papaya maradol	FRUTALES	BARRANQUILLA	Abril	2015	1645
Pinha	FRUTALES	BARRANQUILLA	Abril	2015	1010
Tomate	HORTALIZAS	BARRANQUILLA	Abril	2015	2100
Arracacha	TUBERCULOS	BARRANQUILLA	Abril	2015	NA
Papa negra	TUBERCULOS	BARRANQUILLA	Abril	2015	1100
Papa criolla	TUBERCULOS	BARRANQUILLA	Abril	2015	1645
Platano guineo	TUBERCULOS	BARRANQUILLA	Abril	2015	NA
Platano harton verde	TUBERCULOS	BARRANQUILLA	Abril	2015	1106
Yuca	TUBERCULOS	BARRANQUILLA	Abril	2015	1021
Arroz de primera	GRANOS	BARRANQUILLA	Abril	2015	3032
Arveja verde seca importada	GRANOS	BARRANQUILLA	Abril	2015	1973
Frijol seco	GRANOS	BARRANQUILLA	Abril	2015	4975
Garbanzo importado	GRANOS	BARRANQUILLA	Abril	2015	NA
Lenteja importada	GRANOS	BARRANQUILLA	Abril	2015	2775
Maiz amarillo	GRANOS	BARRANQUILLA	Abril	2015	1397
Ahuyama	HORTALIZAS	BOGOTA	Abril	2015	856
Arveja verde en vaina	HORTALIZAS	BOGOTA	Abril	2015	4009
Cebolla cabezona blanca	HORTALIZAS	BOGOTA	Abril	2015	949
Cebolla junca	HORTALIZAS	BOGOTA	Abril	2015	1057
Chocolo mazorca	HORTALIZAS	BOGOTA	Abril	2015	1517
Habichuela	HORTALIZAS	BOGOTA	Abril	2015	1714
Pepino cohombro	HORTALIZAS	BOGOTA	Abril	2015	1368
Pimenton	HORTALIZAS	BOGOTA	Abril	2015	3064
Remolacha	HORTALIZAS	BOGOTA	Abril	2015	653
Tomate	HORTALIZAS	BOGOTA	Abril	2015	1358
Zanahoria	HORTALIZAS	BOGOTA	Abril	2015	885
Aguacate	FRUTALES	BOGOTA	Abril	2015	4486
Banano	FRUTALES	BOGOTA	Abril	2015	1224
Coco	FRUTALES	BOGOTA	Abril	2015	3000
Granadilla	FRUTALES	BOGOTA	Abril	2015	2210
Guayaba pera	FRUTALES	BOGOTA	Abril	2015	1701
Limon tahiti	FRUTALES	BOGOTA	Abril	2015	1848
Lulo	FRUTALES	BOGOTA	Abril	2015	1987
Mandarina	FRUTALES	BOGOTA	Abril	2015	2910
Mango Tommy	FRUTALES	BOGOTA	Abril	2015	2787
Manzana royal gala	FRUTALES	BOGOTA	Abril	2015	3626
Maracuya	FRUTALES	BOGOTA	Abril	2015	1529
Mora de Castilla	FRUTALES	BOGOTA	Abril	2015	3367
Naranja Valencia	FRUTALES	BOGOTA	Abril	2015	1180
Papaya maradol	FRUTALES	BOGOTA	Abril	2015	932
Pinha	FRUTALES	BOGOTA	Abril	2015	682
Tomate	HORTALIZAS	BOGOTA	Abril	2015	2178
Arracacha	TUBERCULOS	BOGOTA	Abril	2015	855
Papa negra	TUBERCULOS	BOGOTA	Abril	2015	1528
Papa criolla	TUBERCULOS	BOGOTA	Abril	2015	2153
Platano guineo	TUBERCULOS	BOGOTA	Abril	2015	1128
Platano harton verde	TUBERCULOS	BOGOTA	Abril	2015	1446
Yuca	TUBERCULOS	BOGOTA	Abril	2015	1657
Arroz de primera	GRANOS	BOGOTA	Abril	2015	3036
Arveja verde seca importada	GRANOS	BOGOTA	Abril	2015	1862
Frijol seco	GRANOS	BOGOTA	Abril	2015	6810
Garbanzo importado	GRANOS	BOGOTA	Abril	2015	3387
Lenteja importada	GRANOS	BOGOTA	Abril	2015	2739
Maiz amarillo	GRANOS	BOGOTA	Abril	2015	879
Ahuyama	HORTALIZAS	BUCARAMANGA	Abril	2015	522
Arveja verde en vaina	HORTALIZAS	BUCARAMANGA	Abril	2015	3289
Cebolla cabezona blanca	HORTALIZAS	BUCARAMANGA	Abril	2015	967
Cebolla junca	HORTALIZAS	BUCARAMANGA	Abril	2015	833
Chocolo mazorca	HORTALIZAS	BUCARAMANGA	Abril	2015	983
Habichuela	HORTALIZAS	BUCARAMANGA	Abril	2015	863
Pepino cohombro	HORTALIZAS	BUCARAMANGA	Abril	2015	588
Pimenton	HORTALIZAS	BUCARAMANGA	Abril	2015	1560
Remolacha	HORTALIZAS	BUCARAMANGA	Abril	2015	836
Tomate	HORTALIZAS	BUCARAMANGA	Abril	2015	1214
Zanahoria	HORTALIZAS	BUCARAMANGA	Abril	2015	657
Aguacate	FRUTALES	BUCARAMANGA	Abril	2015	3747
Banano	FRUTALES	BUCARAMANGA	Abril	2015	1250
Coco	FRUTALES	BUCARAMANGA	Abril	2015	2333
Granadilla	FRUTALES	BUCARAMANGA	Abril	2015	2174
Guayaba pera	FRUTALES	BUCARAMANGA	Abril	2015	1094
Limon tahiti	FRUTALES	BUCARAMANGA	Abril	2015	1356
Lulo	FRUTALES	BUCARAMANGA	Abril	2015	1917
Mandarina	FRUTALES	BUCARAMANGA	Abril	2015	1276
Mango Tommy	FRUTALES	BUCARAMANGA	Abril	2015	2506
Manzana royal gala	FRUTALES	BUCARAMANGA	Abril	2015	3373
Maracuya	FRUTALES	BUCARAMANGA	Abril	2015	1489
Mora de Castilla	FRUTALES	BUCARAMANGA	Abril	2015	3649
Naranja Valencia	FRUTALES	BUCARAMANGA	Abril	2015	626
Papaya maradol	FRUTALES	BUCARAMANGA	Abril	2015	981
Pinha	FRUTALES	BUCARAMANGA	Abril	2015	594
Tomate	HORTALIZAS	BUCARAMANGA	Abril	2015	1876
Arracacha	TUBERCULOS	BUCARAMANGA	Abril	2015	864
Papa negra	TUBERCULOS	BUCARAMANGA	Abril	2015	1336
Papa criolla	TUBERCULOS	BUCARAMANGA	Abril	2015	1623
Platano guineo	TUBERCULOS	BUCARAMANGA	Abril	2015	NA
Platano harton verde	TUBERCULOS	BUCARAMANGA	Abril	2015	1378
Yuca	TUBERCULOS	BUCARAMANGA	Abril	2015	1126
Arroz de primera	GRANOS	BUCARAMANGA	Abril	2015	3289
Arveja verde seca importada	GRANOS	BUCARAMANGA	Abril	2015	1787
Frijol seco	GRANOS	BUCARAMANGA	Abril	2015	5363
Garbanzo importado	GRANOS	BUCARAMANGA	Abril	2015	2850
Lenteja importada	GRANOS	BUCARAMANGA	Abril	2015	2859
Maiz amarillo	GRANOS	BUCARAMANGA	Abril	2015	NA
Ahuyama	HORTALIZAS	CARTAGENA	Abril	2015	624
Arveja verde en vaina	HORTALIZAS	CARTAGENA	Abril	2015	NA
Cebolla cabezona blanca	HORTALIZAS	CARTAGENA	Abril	2015	1175
Cebolla junca	HORTALIZAS	CARTAGENA	Abril	2015	1095
Chocolo mazorca	HORTALIZAS	CARTAGENA	Abril	2015	766
Habichuela	HORTALIZAS	CARTAGENA	Abril	2015	1272
Pepino cohombro	HORTALIZAS	CARTAGENA	Abril	2015	613
Pimenton	HORTALIZAS	CARTAGENA	Abril	2015	1771
Remolacha	HORTALIZAS	CARTAGENA	Abril	2015	827
Tomate	HORTALIZAS	CARTAGENA	Abril	2015	1684
Zanahoria	HORTALIZAS	CARTAGENA	Abril	2015	844
Aguacate	FRUTALES	CARTAGENA	Abril	2015	5229
Banano	FRUTALES	CARTAGENA	Abril	2015	NA
Coco	FRUTALES	CARTAGENA	Abril	2015	2279
Granadilla	FRUTALES	CARTAGENA	Abril	2015	3091
Guayaba pera	FRUTALES	CARTAGENA	Abril	2015	1725
Limon tahiti	FRUTALES	CARTAGENA	Abril	2015	1644
Lulo	FRUTALES	CARTAGENA	Abril	2015	2983
Mandarina	FRUTALES	CARTAGENA	Abril	2015	1917
Mango Tommy	FRUTALES	CARTAGENA	Abril	2015	NA
Manzana royal gala	FRUTALES	CARTAGENA	Abril	2015	3860
Maracuya	FRUTALES	CARTAGENA	Abril	2015	1446
Mora de Castilla	FRUTALES	CARTAGENA	Abril	2015	3998
Naranja Valencia	FRUTALES	CARTAGENA	Abril	2015	820
Papaya maradol	FRUTALES	CARTAGENA	Abril	2015	1227
Pinha	FRUTALES	CARTAGENA	Abril	2015	1163
Tomate	HORTALIZAS	CARTAGENA	Abril	2015	2198
Arracacha	TUBERCULOS	CARTAGENA	Abril	2015	NA
Papa negra	TUBERCULOS	CARTAGENA	Abril	2015	1016
Papa criolla	TUBERCULOS	CARTAGENA	Abril	2015	2173
Platano guineo	TUBERCULOS	CARTAGENA	Abril	2015	NA
Platano harton verde	TUBERCULOS	CARTAGENA	Abril	2015	1093
Yuca	TUBERCULOS	CARTAGENA	Abril	2015	960
Arroz de primera	GRANOS	CARTAGENA	Abril	2015	2981
Arveja verde seca importada	GRANOS	CARTAGENA	Abril	2015	2000
Frijol seco	GRANOS	CARTAGENA	Abril	2015	5685
Garbanzo importado	GRANOS	CARTAGENA	Abril	2015	NA
