depa	ano	culti	precio
ANTI	2013	ACELGA	987,25
ANTI	2013	AGUACATE COMUN	1500,071429
ANTI	2013	AGUACATE HASS	1690
ANTI	2013	AGUACATE PAPELILLO	2338,641026
ANTI	2013	AHUYAMA	642,3333333
ANTI	2013	AJI TOPITO DULCE	2115,666667
ANTI	2013	AJO	4044,2
ANTI	2013	AJO IMPORTADO	3527,090909
ANTI	2013	APIO	706,16
ANTI	2013	ARRACACHA BLANCA	868,1807229
ANTI	2013	ARROZ DE PRIMERA	2224,611111
ANTI	2013	ARVEJA ENLATADA	5531,228571
ANTI	2013	ARVEJA VERDE EN VAINA	1736,046296
ANTI	2013	ARVEJA VERDE EN VAINA PASTUSA	1573,636364
ANTI	2013	ARVEJA VERDE SECA IMPORTADA	2569,166667
ANTI	2013	BANANO BOCADILLO	597,9583333
ANTI	2013	BANANO CRIOLLO	551,7857143
ANTI	2013	BANANO URABA	552,2083333
ANTI	2013	BERENJENA	1512,333333
ANTI	2013	BOROJO	2580
ANTI	2013	BREVA	3291,333333
ANTI	2013	BROCOLI	1321,291667
ANTI	2013	CALABACIN	1382,333333
ANTI	2013	CEBOLLA CABEZONA BLANCA	1061,645833
ANTI	2013	CEBOLLA CABEZONA BLANCA IMPORTADA	1014,733333
ANTI	2013	CEBOLLA CABEZONA ROJA IMPORTADA	1149,75
ANTI	2013	CEBOLLA CABEZONA ROJA OCANERA	1110,4
ANTI	2013	CEBOLLA JUNCA	1007,916667
ANTI	2013	CEBOLLA PUERRO	1709,5
ANTI	2013	CHOCOLO MAZORCA	560,3020833
ANTI	2013	CIDRA	359,3770492
ANTI	2013	CILANTRO	1780,34375
ANTI	2013	CIRUELA NEGRA CHILENA	5875
ANTI	2013	CIRUELA ROJA	2265,333333
ANTI	2013	COCO	2211,75
ANTI	2013	COLES	699,9583333
ANTI	2013	COLIFLOR	1316,708333
ANTI	2013	CURUBA	904,3333333
ANTI	2013	DURAZNO IMPORTADO	5526,545455
ANTI	2013	DURAZNO NACIONAL	3440,666667
ANTI	2013	ESPINACA	917,1111111
ANTI	2013	FRESA	3496,611111
ANTI	2013	FRIJOL CARGAMANTO BLANCO	4406,242718
ANTI	2013	FRIJOL CARGAMANTO ROJO	3914,340659
ANTI	2013	FRIJOL ENLATADO	6513,416667
ANTI	2013	FRIJOL NIMA CALIMA	3094,416667
ANTI	2013	FRIJOL RADICAL	3588,166667
ANTI	2013	FRIJOL URIBE ROSADO	2919,416667
ANTI	2013	FRIJOL VERDE CARGAMANTO	1371,583333
ANTI	2013	GARBANZO IMPORTADO	4038,5
ANTI	2013	GRANADILLA	2910,5
ANTI	2013	GUANABANA	1810,1875
ANTI	2013	GUAYABA MANZANA	1701,291667
ANTI	2013	GUAYABA PERA	1136,1875
ANTI	2013	GULUPA	1015,666667
ANTI	2013	HABICHUELA	1093,05814
ANTI	2013	HIGO	2288,875
ANTI	2013	KIWI	3796,909091
ANTI	2013	LECHUGA BATAVIA	770,7
ANTI	2013	LECHUGA CRESPA MORADA	1520,545455
ANTI	2013	LECHUGA CRESPA VERDE	1256,833333
ANTI	2013	LENTEJA IMPORTADA	2561,25
ANTI	2013	LIMON COMUN	1320,777778
ANTI	2013	LIMON MANDARINO	561,15
ANTI	2013	LIMON TAHITI	1016,291667
ANTI	2013	LULO	2095,458333
ANTI	2013	MAIZ AMARILLO CASCARA	927,8333333
ANTI	2013	MAIZ AMARILLO TRILLADO	1120,75
ANTI	2013	MAIZ BLANCO CASCARA	950,6969697
ANTI	2013	MAIZ BLANCO RETRILLADO	1054,5
ANTI	2013	MAIZ BLANCO TRILLADO	1295,68
ANTI	2013	MAIZ ENLATADO	6856,068966
ANTI	2013	MAIZ PIRA	2693,361111
ANTI	2013	MANDARINA COMUN	675,3636364
ANTI	2013	MANDARINA ONECO	1418,354167
ANTI	2013	MANGO COMUN	999,25
ANTI	2013	MANGO COSTENO	974,5714286
ANTI	2013	MANGO DE AZUCAR	1505,571429
ANTI	2013	MANGO MANZANO	1444,625
ANTI	2013	MANGO TOMMY	1956,583333
ANTI	2013	MANZANA NACIONAL	2865,714286
ANTI	2013	MANZANA ROJA IMPORTADA	3287,444444
ANTI	2013	MANZANA ROYAL GALA IMPORTADA	3217,333333
ANTI	2013	MANZANA VERDE IMPORTADA	3630,611111
ANTI	2013	MARACUYA	1407,95
ANTI	2013	MARACUYA ANTIOQUENO	1332,4
ANTI	2013	MARACUYA HUILENSE	1794,333333
ANTI	2013	MARACUYA VALLUNO	1843,333333
ANTI	2013	MELON CANTALUP	1702,083333
ANTI	2013	MORA DE CASTILLA	1734,958333
ANTI	2013	NARANJA COMUN	290,5882353
ANTI	2013	NARANJA VALENCIA	924,9791667
ANTI	2013	PAPA CAPIRA	811,3194444
ANTI	2013	PAPA CRIOLLA LIMPIA	1413,893939
ANTI	2013	PAPA NEVADA	904,5208333
ANTI	2013	PAPA PURACE	586,0769231
ANTI	2013	PAPA R-12 NEGRA	704,8461538
ANTI	2013	PAPAYA HAWAIANA	1245,916667
ANTI	2013	PAPAYA MARADOL	1223,416667
ANTI	2013	PAPAYA MELONA	1097,25
ANTI	2013	PAPAYA REDONDA	1078,25
ANTI	2013	PATILLA	663,5833333
ANTI	2013	PEPINO COHOMBRO	707,2650602
ANTI	2013	PEPINO DE RELLENAR	2030,25
ANTI	2013	PERA IMPORTADA	3270,791667
ANTI	2013	PERA NACIONAL	1669,428571
ANTI	2013	PEREJIL	3494,083333
ANTI	2013	PIMENTON	1020,052083
ANTI	2013	PIMENTON VERDE	650
ANTI	2013	PINA CAYENA	1210
ANTI	2013	PINA GOLD	1366,555556
ANTI	2013	PINA MANZANA	917,1276596
ANTI	2013	PINA PEROLERA	838,5833333
ANTI	2013	PITAHAYA	5272,625
ANTI	2013	PLATANO COMINO	800
ANTI	2013	PLATANO DOMINICO VERDE	533,3833333
ANTI	2013	PLATANO GUINEO	501,7708333
ANTI	2013	PLATANO HARTON MADURO	1006,5
ANTI	2013	PLATANO HARTON VERDE	871,05
ANTI	2013	RABANO ROJO	1382,083333
ANTI	2013	REMOLACHA	802,5166667
ANTI	2013	REMOLACHA BOGOTANA	703,4
ANTI	2013	REMOLACHA REGIONAL	655,75
ANTI	2013	REPOLLO BLANCO	316,9375
ANTI	2013	REPOLLO BLANCO BOGOTANO	433,75
ANTI	2013	REPOLLO MORADO	353,6666667
ANTI	2013	TANGELO	1986,5
ANTI	2013	TOMATE CHONTO	949,5
ANTI	2013	TOMATE CHONTO REGIONAL	1124,311321
ANTI	2013	TOMATE DE ARBOL	1131,203704
ANTI	2013	TOMATE LARGA VIDA	1820,166667
ANTI	2013	TOMATE RINON	1745,230769
ANTI	2013	UCHUVA CON CASCARA	1693,645833
ANTI	2013	UVA IMPORTADA	5730,555556
ANTI	2013	UVA ISABELA	2551,194444
ANTI	2013	UVA NEGRA	3136
ANTI	2013	UVA RED GLOBE NACIONAL	3585,75
ANTI	2013	UVA VERDE	3521,416667
ANTI	2013	YUCA CHIROSA	840,2272727
ANTI	2013	YUCA CRIOLLA	905,3333333
ANTI	2013	YUCA ICA	811,4
ANTI	2013	ZANAHORIA	572,9230769
ANTI	2013	ZANAHORIA BOGOTANA	711
ANTI	2013	ZANAHORIA LARGA VIDA	578,7619048
ANTI	2013	ZAPOTE	1200,111111
ANTI	2014	ACELGA	976,3333333
ANTI	2014	AGUACATE COMUN	1537,2
ANTI	2014	AGUACATE HASS	1685,25
ANTI	2014	AGUACATE PAPELILLO	3039,666667
ANTI	2014	AHUYAMA	665,375
ANTI	2014	AJI TOPITO DULCE	2677,5
ANTI	2014	AJO	3500,583333
ANTI	2014	AJO IMPORTADO	2720,083333
ANTI	2014	APIO	649,7692308
ANTI	2014	ARRACACHA BLANCA	795,5714286
ANTI	2014	ARROZ DE PRIMERA	2179,5
ANTI	2014	ARVEJA ENLATADA	5572,2
ANTI	2014	ARVEJA VERDE EN VAINA	1780,555556
ANTI	2014	ARVEJA VERDE EN VAINA PASTUSA	1727,454545
ANTI	2014	ARVEJA VERDE SECA IMPORTADA	2510,083333
ANTI	2014	BANANO BOCADILLO	710
ANTI	2014	BANANO CRIOLLO	531
ANTI	2014	BANANO URABA	576,3043478
ANTI	2014	BERENJENA	1546,916667
ANTI	2014	BOROJO	2139,833333
ANTI	2014	BREVA	3563
ANTI	2014	BROCOLI	1112,458333
ANTI	2014	CALABACIN	977,75
ANTI	2014	CALABAZA	747,3333333
ANTI	2014	CEBOLLA CABEZONA BLANCA	1446,0625
ANTI	2014	CEBOLLA CABEZONA BLANCA IMPORTADA	1330,166667
ANTI	2014	CEBOLLA CABEZONA ROJA IMPORTADA	1663,833333
ANTI	2014	CEBOLLA CABEZONA ROJA OCANERA	1216
ANTI	2014	CEBOLLA JUNCA	1206,166667
ANTI	2014	CEBOLLA PUERRO	1172,583333
ANTI	2014	CHOCOLO MAZORCA	626,3473684
ANTI	2014	CIDRA	499,3833333
ANTI	2014	CILANTRO	2045,640625
ANTI	2014	CIRUELA NEGRA CHILENA	6243,727273
ANTI	2014	CIRUELA ROJA	2434,166667
ANTI	2014	COCO	2941,583333
ANTI	2014	COLES	710,9166667
ANTI	2014	COLIFLOR	1162,25
ANTI	2014	CURUBA	965,6666667
ANTI	2014	DURAZNO IMPORTADO	5741,3
ANTI	2014	DURAZNO NACIONAL	3982,333333
ANTI	2014	ESPINACA	951,2777778
ANTI	2014	FRESA	4258,527778
ANTI	2014	FRIJOL CARGAMANTO BLANCO	4435,809524
ANTI	2014	FRIJOL CARGAMANTO ROJO	3682,956989
ANTI	2014	FRIJOL ENLATADO	6446,411765
ANTI	2014	FRIJOL NIMA CALIMA	2605,5
ANTI	2014	FRIJOL RADICAL	2905,833333
ANTI	2014	FRIJOL URIBE ROSADO	2510,3
ANTI	2014	FRIJOL VERDE CARGAMANTO	1627,416667
ANTI	2014	GARBANZO IMPORTADO	3465,888889
ANTI	2014	GRANADILLA	2617,916667
ANTI	2014	GUANABANA	1807,270833
ANTI	2014	GUAYABA COMUN	950
ANTI	2014	GUAYABA MANZANA	1774,916667
ANTI	2014	GUAYABA PERA	1206,520833
ANTI	2014	GULUPA	955,5833333
ANTI	2014	HABICHUELA	1152,97619
ANTI	2014	HIGO	1929,75
ANTI	2014	KIWI	5260,166667
ANTI	2014	LECHUGA BATAVIA	618,671875
ANTI	2014	LECHUGA CRESPA MORADA	1505,833333
ANTI	2014	LECHUGA CRESPA VERDE	1231,666667
ANTI	2014	LENTEJA IMPORTADA	2424,777778
ANTI	2014	LIMON COMUN	1527,194444
ANTI	2014	LIMON MANDARINO	657,2166667
ANTI	2014	LIMON TAHITI	1271,125
ANTI	2014	LULO	2311,833333
ANTI	2014	MAIZ AMARILLO CASCARA	925,9791667
ANTI	2014	MAIZ AMARILLO CASCARA IMPORTADO	790
ANTI	2014	MAIZ AMARILLO TRILLADO	1216,411765
ANTI	2014	MAIZ BLANCO CASCARA	1072,862069
ANTI	2014	MAIZ BLANCO RETRILLADO	1132,714286
