depa	ano	tipo	precio
ANTI	2013	ARRENDAMIENTO	187083,35
ANTI	2013	FERTILIZANTE	44329,59
ANTI	2013	FUNGICIDA	16259,97
ANTI	2013	HERBICIDA	19750,41
ANTI	2013	INSECTICIDA	22383,37
ANTI	2014	ARRENDAMIENTO	177657,76
ANTI	2014	FERTILIZANTE	41388,14
ANTI	2014	FUNGICIDA	15899,13
ANTI	2014	HERBICIDA	18222,12
ANTI	2014	INSECTICIDA	23020,63
ANTI	2014	RIEGO	22600,00
ANTI	2015	ARRENDAMIENTO	168148,80
ANTI	2015	FERTILIZANTE	46008,54
ANTI	2015	FUNGICIDA	16552,25
ANTI	2015	HERBICIDA	17880,44
ANTI	2015	INSECTICIDA	23118,00
ANTI	2015	RIEGO	23000,00
ANTI	2016	ARRENDAMIENTO	171893,95
ANTI	2016	FERTILIZANTE	46318,42
ANTI	2016	FUNGICIDA	17951,03
ANTI	2016	HERBICIDA	19402,74
ANTI	2016	INSECTICIDA	23477,93
ANTI	2016	RIEGO	23500,00
ANTI	2017	ARRENDAMIENTO	180604,17
ANTI	2017	FERTILIZANTE	43967,44
ANTI	2017	FUNGICIDA	18863,89
ANTI	2017	HERBICIDA	19640,15
ANTI	2017	INSECTICIDA	23577,70
ANTI	2017	RIEGO	23600,00
ANTI	2018	ARRENDAMIENTO	189300,65
ANTI	2018	FERTILIZANTE	46545,96
ANTI	2018	FUNGICIDA	19523,43
ANTI	2018	HERBICIDA	20961,02
ANTI	2018	INSECTICIDA	24320,89
ANTI	2018	RIEGO	24000,00
ANTI	2019	ARRENDAMIENTO	198409,11
ANTI	2019	FERTILIZANTE	48995,28
ANTI	2019	FUNGICIDA	20690,61
ANTI	2019	HERBICIDA	22345,91
ANTI	2019	INSECTICIDA	26452,93
ANTI	2019	RIEGO	23363,64
ANTI	2020	ARRENDAMIENTO	218825,11
ANTI	2020	FERTILIZANTE	52566,91
ANTI	2020	FUNGICIDA	21260,97
ANTI	2020	HERBICIDA	23030,57
ANTI	2020	INSECTICIDA	28288,89
ANTI	2020	RIEGO	24708,33
ARAU	2016	FUNGICIDA	18208,31
ARAU	2016	HERBICIDA	48160,70
ARAU	2016	INSECTICIDA	13785,19
ARAU	2017	FUNGICIDA	15555,27
ARAU	2017	HERBICIDA	37161,66
ARAU	2017	INSECTICIDA	13587,29
ARAU	2018	FERTILIZANTE	75783,40
ARAU	2018	FUNGICIDA	15242,18
ARAU	2018	HERBICIDA	35088,19
ARAU	2018	INSECTICIDA	15336,00
ARAU	2019	FERTILIZANTE	82916,67
ARAU	2019	FUNGICIDA	15400,00
ARAU	2019	HERBICIDA	36733,64
ARAU	2019	INSECTICIDA	12486,85
ARAU	2020	FERTILIZANTE	91000,00
ARAU	2020	FUNGICIDA	15333,22
ARAU	2020	HERBICIDA	36966,98
ARAU	2020	INSECTICIDA	12639,43
ATLA	2013	ARRENDAMIENTO	180666,60
ATLA	2013	FERTILIZANTE	21850,00
ATLA	2013	HERBICIDA	29858,09
ATLA	2013	INSECTICIDA	18203,64
ATLA	2014	FERTILIZANTE	66458,50
ATLA	2014	HERBICIDA	30346,56
ATLA	2014	INSECTICIDA	16000,55
ATLA	2015	ARRENDAMIENTO	178888,67
ATLA	2015	HERBICIDA	31479,46
ATLA	2015	INSECTICIDA	16938,64
ATLA	2016	ARRENDAMIENTO	175208,38
ATLA	2016	HERBICIDA	31663,43
ATLA	2016	INSECTICIDA	19429,38
ATLA	2017	ARRENDAMIENTO	174523,71
ATLA	2017	HERBICIDA	35998,70
ATLA	2017	INSECTICIDA	18216,20
ATLA	2018	ARRENDAMIENTO	208541,63
ATLA	2018	HERBICIDA	37815,28
ATLA	2018	INSECTICIDA	16047,73
ATLA	2019	ARRENDAMIENTO	235208,25
ATLA	2019	FERTILIZANTE	61385,38
ATLA	2019	FUNGICIDA	21025,29
ATLA	2019	HERBICIDA	42961,99
ATLA	2019	INSECTICIDA	17830,19
ATLA	2020	ARRENDAMIENTO	251958,38
ATLA	2020	FERTILIZANTE	63767,86
ATLA	2020	FUNGICIDA	22810,58
ATLA	2020	HERBICIDA	42805,60
ATLA	2020	INSECTICIDA	19543,35
CUNDI	2013	ARRENDAMIENTO	900625,00
CUNDI	2013	FERTILIZANTE	39329,74
CUNDI	2013	FUNGICIDA	16147,54
CUNDI	2013	HERBICIDA	21219,53
CUNDI	2013	INSECTICIDA	25688,73
CUNDI	2013	RIEGO	13414,50
CUNDI	2014	ARRENDAMIENTO	882419,32
CUNDI	2014	FERTILIZANTE	38111,24
CUNDI	2014	FUNGICIDA	15602,08
CUNDI	2014	HERBICIDA	20972,20
CUNDI	2014	INSECTICIDA	24342,13
CUNDI	2014	RIEGO	14147,50
CUNDI	2015	ARRENDAMIENTO	984095,23
CUNDI	2015	FERTILIZANTE	41814,67
CUNDI	2015	FUNGICIDA	16263,33
CUNDI	2015	HERBICIDA	20346,09
CUNDI	2015	INSECTICIDA	25286,85
CUNDI	2015	RIEGO	16643,40
CUNDI	2016	ARRENDAMIENTO	1134410,22
CUNDI	2016	FERTILIZANTE	43102,69
CUNDI	2016	FUNGICIDA	17399,35
CUNDI	2016	HERBICIDA	21985,15
CUNDI	2016	INSECTICIDA	26837,07
CUNDI	2016	RIEGO	15736,67
CUNDI	2017	ARRENDAMIENTO	1168393,51
CUNDI	2017	FERTILIZANTE	41824,26
CUNDI	2017	FUNGICIDA	18211,65
CUNDI	2017	HERBICIDA	23031,66
CUNDI	2017	INSECTICIDA	26392,57
CUNDI	2017	RIEGO	26200,00
CUNDI	2018	ARRENDAMIENTO	1200293,11
CUNDI	2018	FERTILIZANTE	42155,58
CUNDI	2018	FUNGICIDA	19003,13
CUNDI	2018	HERBICIDA	24400,82
CUNDI	2018	INSECTICIDA	26776,32
CUNDI	2018	RIEGO	26500,00
CUNDI	2019	ARRENDAMIENTO	1180567,03
CUNDI	2019	FERTILIZANTE	45343,24
CUNDI	2019	FUNGICIDA	19465,57
CUNDI	2019	HERBICIDA	26606,60
CUNDI	2019	INSECTICIDA	27828,41
CUNDI	2019	RIEGO	28666,67
CUNDI	2020	ARRENDAMIENTO	1202040,82
CUNDI	2020	FERTILIZANTE	47234,78
CUNDI	2020	FUNGICIDA	19652,15
CUNDI	2020	HERBICIDA	28343,25
CUNDI	2020	INSECTICIDA	30195,09
CUNDI	2020	RIEGO	25142,86
BOLI	2013	ARRENDAMIENTO	200000,00
BOLI	2013	FERTILIZANTE	36414,52
BOLI	2013	FUNGICIDA	17520,89
BOLI	2013	HERBICIDA	30041,19
BOLI	2013	INSECTICIDA	18069,73
BOLI	2014	ARRENDAMIENTO	237500,00
BOLI	2014	FERTILIZANTE	36766,72
BOLI	2014	FUNGICIDA	16333,33
BOLI	2014	HERBICIDA	31294,69
BOLI	2014	INSECTICIDA	13825,57
BOLI	2014	RIEGO	100000,00
BOLI	2015	ARRENDAMIENTO	287500,00
BOLI	2015	FERTILIZANTE	49835,69
BOLI	2015	HERBICIDA	33037,79
BOLI	2015	INSECTICIDA	15233,28
BOLI	2015	RIEGO	100000,00
BOLI	2016	ARRENDAMIENTO	257142,86
BOLI	2016	FERTILIZANTE	55471,29
BOLI	2016	HERBICIDA	33409,05
BOLI	2016	INSECTICIDA	17372,64
BOLI	2016	RIEGO	106000,00
BOLI	2017	ARRENDAMIENTO	250416,63
BOLI	2017	FERTILIZANTE	48549,18
BOLI	2017	HERBICIDA	35004,78
BOLI	2017	INSECTICIDA	17413,50
BOLI	2017	RIEGO	125000,00
BOLI	2018	ARRENDAMIENTO	261666,63
BOLI	2018	FERTILIZANTE	53133,82
BOLI	2018	HERBICIDA	35178,41
BOLI	2018	INSECTICIDA	16511,11
BOLI	2018	RIEGO	131250,00
BOLI	2019	ARRENDAMIENTO	331154,08
BOLI	2019	FERTILIZANTE	54193,55
BOLI	2019	HERBICIDA	35254,62
BOLI	2019	INSECTICIDA	17203,80
BOLI	2019	RIEGO	140000,00
BOLI	2020	ARRENDAMIENTO	411041,69
BOLI	2020	FERTILIZANTE	92805,10
BOLI	2020	HERBICIDA	36241,71
BOLI	2020	INSECTICIDA	18368,83
BOYA	2013	ARRENDAMIENTO	1354385,95
BOYA	2013	FERTILIZANTE	27055,69
BOYA	2013	FUNGICIDA	16036,36
BOYA	2013	HERBICIDA	23372,30
BOYA	2013	INSECTICIDA	20489,33
BOYA	2014	ARRENDAMIENTO	1195000,00
BOYA	2014	FERTILIZANTE	29736,86
BOYA	2014	FUNGICIDA	15532,00
BOYA	2014	HERBICIDA	20790,44
BOYA	2014	INSECTICIDA	21553,78
BOYA	2014	RIEGO	48780,38
BOYA	2015	ARRENDAMIENTO	1291153,81
BOYA	2015	FERTILIZANTE	33823,86
BOYA	2015	FUNGICIDA	15316,03
BOYA	2015	HERBICIDA	22239,65
BOYA	2015	INSECTICIDA	22151,37
BOYA	2015	RIEGO	50095,00
BOYA	2016	ARRENDAMIENTO	1389937,06
BOYA	2016	FERTILIZANTE	32340,43
BOYA	2016	FUNGICIDA	17277,48
BOYA	2016	HERBICIDA	22693,75
BOYA	2016	INSECTICIDA	22802,42
BOYA	2016	RIEGO	51976,13
BOYA	2017	ARRENDAMIENTO	1316397,82
BOYA	2017	FERTILIZANTE	33470,91
BOYA	2017	FUNGICIDA	17865,29
BOYA	2017	HERBICIDA	23287,65
BOYA	2017	INSECTICIDA	23285,82
BOYA	2017	RIEGO	54399,88
BOYA	2018	ARRENDAMIENTO	1268378,43
BOYA	2018	FERTILIZANTE	36098,53
BOYA	2018	FUNGICIDA	18360,68
BOYA	2018	HERBICIDA	27163,81
BOYA	2018	INSECTICIDA	25306,97
BOYA	2018	RIEGO	56763,75
BOYA	2019	ARRENDAMIENTO	1301829,32
BOYA	2019	FERTILIZANTE	38256,06
BOYA	2019	FUNGICIDA	18928,38
BOYA	2019	HERBICIDA	29581,98
BOYA	2019	INSECTICIDA	27067,91
BOYA	2019	RIEGO	56450,63
BOYA	2020	ARRENDAMIENTO	1339841,25
BOYA	2020	FERTILIZANTE	40838,93
BOYA	2020	FUNGICIDA	19554,14
BOYA	2020	HERBICIDA	30499,33
BOYA	2020	INSECTICIDA	29583,34
BOYA	2020	RIEGO	62016,00
CALD	2013	ARRENDAMIENTO	98993,00
CALD	2013	FERTILIZANTE	37543,31
CALD	2013	FUNGICIDA	16479,56
CALD	2013	HERBICIDA	22534,81
CALD	2013	INSECTICIDA	20802,64
CALD	2014	ARRENDAMIENTO	76934,64
CALD	2014	FERTILIZANTE	28659,17
CALD	2014	FUNGICIDA	17166,16
CALD	2014	HERBICIDA	21642,63
CALD	2014	INSECTICIDA	18284,27
CALD	2015	ARRENDAMIENTO	80166,74
CALD	2015	FERTILIZANTE	32169,72
CALD	2015	FUNGICIDA	18619,25
CALD	2015	HERBICIDA	23043,91
CALD	2015	INSECTICIDA	19699,22
CALD	2016	ARRENDAMIENTO	83116,65
CALD	2016	FERTILIZANTE	33795,93
CALD	2016	FUNGICIDA	19970,29
CALD	2016	HERBICIDA	27812,52
CALD	2016	INSECTICIDA	20326,74
CALD	2017	ARRENDAMIENTO	84299,80
CALD	2017	FERTILIZANTE	30997,37
CALD	2017	FUNGICIDA	20603,11
CALD	2017	HERBICIDA	28044,04
CALD	2017	INSECTICIDA	20800,06
CALD	2018	ARRENDAMIENTO	84166,65
CALD	2018	FERTILIZANTE	32446,24
CALD	2018	FUNGICIDA	21812,01
CALD	2018	HERBICIDA	27627,57
CALD	2018	INSECTICIDA	21229,20
CALD	2019	ARRENDAMIENTO	81650,81
CALD	2019	FERTILIZANTE	31305,87
CALD	2019	FUNGICIDA	22022,15
CALD	2019	HERBICIDA	31816,44
CALD	2019	INSECTICIDA	22512,32
CALD	2020	ARRENDAMIENTO	78333,33
CALD	2020	FERTILIZANTE	32083,57
CALD	2020	FUNGICIDA	21134,19
CALD	2020	HERBICIDA	32517,05
CALD	2020	INSECTICIDA	23695,62
CAQU	2016	FERTILIZANTE	31956,49
CAQU	2016	FUNGICIDA	16710,07
CAQU	2016	HERBICIDA	31998,83
CAQU	2016	INSECTICIDA	21572,67
CAQU	2017	FERTILIZANTE	35585,11
CAQU	2017	FUNGICIDA	19515,14
CAQU	2017	HERBICIDA	31763,85
CAQU	2017	INSECTICIDA	21137,60
CAQU	2018	FERTILIZANTE	32253,43
CAQU	2018	FUNGICIDA	20476,23
CAQU	2018	HERBICIDA	36397,90
CAQU	2018	INSECTICIDA	21451,63
CAQU	2019	FERTILIZANTE	23458,33
CAQU	2019	FUNGICIDA	18103,34
CAQU	2019	HERBICIDA	40930,78
CAQU	2019	INSECTICIDA	21152,45
CAQU	2020	FERTILIZANTE	22513,83
CAQU	2020	FUNGICIDA	16782,61
CAQU	2020	HERBICIDA	42474,88
CAQU	2020	INSECTICIDA	20660,91
CASA	2013	ARRENDAMIENTO	381101,18
CASA	2013	FERTILIZANTE	64760,46
CASA	2013	FUNGICIDA	19979,93
CASA	2013	HERBICIDA	33847,80
CASA	2013	INSECTICIDA	18971,71
CASA	2013	RIEGO	12500,00
CASA	2014	ARRENDAMIENTO	351923,08
CASA	2014	FERTILIZANTE	67057,43
CASA	2014	FUNGICIDA	18091,65
CASA	2014	HERBICIDA	35495,57
CASA	2014	INSECTICIDA	16934,43
CASA	2014	RIEGO	12500,00
CASA	2015	ARRENDAMIENTO	404731,19
CASA	2015	FERTILIZANTE	71177,48
CASA	2015	FUNGICIDA	17315,00
CASA	2015	HERBICIDA	34280,04
CASA	2015	INSECTICIDA	18067,70
CASA	2015	RIEGO	13000,00
CASA	2016	ARRENDAMIENTO	465729,13
CASA	2016	FERTILIZANTE	60369,00
CASA	2016	FUNGICIDA	17587,33
CASA	2016	HERBICIDA	35048,87
CASA	2016	INSECTICIDA	19035,73
CASA	2016	RIEGO	14000,00
CASA	2017	ARRENDAMIENTO	497499,91
CASA	2017	FERTILIZANTE	49260,58
CASA	2017	FUNGICIDA	17969,11
CASA	2017	HERBICIDA	34406,55
CASA	2017	INSECTICIDA	21057,66
CASA	2017	RIEGO	35000,00
CASA	2018	ARRENDAMIENTO	495312,47
CASA	2018	FERTILIZANTE	48432,33
CASA	2018	FUNGICIDA	19290,30
CASA	2018	HERBICIDA	35122,46
CASA	2018	INSECTICIDA	20421,44
CASA	2018	RIEGO	35000,00
CASA	2019	ARRENDAMIENTO	450312,50
CASA	2019	FERTILIZANTE	57247,69
CASA	2019	FUNGICIDA	19796,20
CASA	2019	HERBICIDA	38538,57
CASA	2019	INSECTICIDA	21180,11
CASA	2019	RIEGO	36750,00
CASA	2020	ARRENDAMIENTO	458452,39
CASA	2020	FERTILIZANTE	56084,85
CASA	2020	FUNGICIDA	20780,76
CASA	2020	HERBICIDA	37406,93
CASA	2020	INSECTICIDA	22650,14
CASA	2020	RIEGO	36750,00
CAUC	2013	ARRENDAMIENTO	576142,86
CAUC	2013	FERTILIZANTE	41640,36
CAUC	2013	FUNGICIDA	15533,54
CAUC	2013	HERBICIDA	24700,82
CAUC	2013	INSECTICIDA	20419,19
CAUC	2013	RIEGO	53166,67
CAUC	2014	FERTILIZANTE	45830,79
CAUC	2014	FUNGICIDA	16592,32
CAUC	2014	HERBICIDA	24669,84
CAUC	2014	INSECTICIDA	21230,71
CAUC	2014	RIEGO	53166,67
CAUC	2015	ARRENDAMIENTO	94416,50
CAUC	2015	FERTILIZANTE	51225,82
CAUC	2015	FUNGICIDA	16998,75
CAUC	2015	HERBICIDA	24980,19
CAUC	2015	INSECTICIDA	22284,26
CAUC	2015	RIEGO	53166,67
CAUC	2016	ARRENDAMIENTO	91727,27
CAUC	2016	FERTILIZANTE	49737,40
CAUC	2016	FUNGICIDA	18942,19
CAUC	2016	HERBICIDA	24359,65
CAUC	2016	INSECTICIDA	22757,33
CAUC	2016	RIEGO	54727,27
CAUC	2017	ARRENDAMIENTO	352933,20
CAUC	2017	FERTILIZANTE	47943,53
CAUC	2017	FUNGICIDA	19708,55
CAUC	2017	HERBICIDA	28287,23
CAUC	2017	INSECTICIDA	22340,15
CAUC	2017	RIEGO	58200,00
CAUC	2018	ARRENDAMIENTO	496205,15
CAUC	2018	FERTILIZANTE	47440,81
CAUC	2018	FUNGICIDA	20142,97
CAUC	2018	HERBICIDA	29998,27
CAUC	2018	INSECTICIDA	22941,26
CAUC	2018	RIEGO	58416,67
CAUC	2019	ARRENDAMIENTO	687450,05
CAUC	2019	FERTILIZANTE	49173,80
CAUC	2019	FUNGICIDA	20460,71
CAUC	2019	HERBICIDA	31830,25
CAUC	2019	INSECTICIDA	24039,03
CAUC	2019	RIEGO	64000,00
CAUC	2020	ARRENDAMIENTO	702500,00
CAUC	2020	FERTILIZANTE	49729,38
CAUC	2020	FUNGICIDA	20571,55
CAUC	2020	HERBICIDA	32722,96
CAUC	2020	INSECTICIDA	23840,95
CAUC	2020	RIEGO	67166,67
CESA	2013	ARRENDAMIENTO	484973,88
CESA	2013	FERTILIZANTE	44818,17
CESA	2013	FUNGICIDA	17399,14
CESA	2013	HERBICIDA	33236,81
CESA	2013	INSECTICIDA	21607,37
CESA	2014	ARRENDAMIENTO	694871,69
CESA	2014	FERTILIZANTE	46758,79
CESA	2014	FUNGICIDA	18706,83
CESA	2014	HERBICIDA	33711,58
CESA	2014	INSECTICIDA	15650,11
CESA	2014	RIEGO	5000,00
CESA	2015	ARRENDAMIENTO	769079,11
CESA	2015	FERTILIZANTE	57137,98
CESA	2015	FUNGICIDA	18858,72
CESA	2015	HERBICIDA	33100,96
CESA	2015	INSECTICIDA	18999,71
CESA	2015	RIEGO	5000,00
CESA	2016	ARRENDAMIENTO	794855,53
CESA	2016	FERTILIZANTE	51464,71
CESA	2016	FUNGICIDA	20953,02
CESA	2016	HERBICIDA	33584,38
CESA	2016	INSECTICIDA	18728,97
CESA	2016	RIEGO	5000,00
CESA	2017	ARRENDAMIENTO	811076,85
CESA	2017	FERTILIZANTE	45984,13
CESA	2017	FUNGICIDA	20717,46
CESA	2017	HERBICIDA	35376,65
CESA	2017	INSECTICIDA	19964,52
CESA	2017	RIEGO	5000,00
CESA	2018	ARRENDAMIENTO	832129,78
CESA	2018	FERTILIZANTE	43663,53
CESA	2018	FUNGICIDA	20790,28
CESA	2018	HERBICIDA	37198,77
