depa	ano	culti	ar.semb	ar.cose	produ	rendi
AMAZ	2006	ARROZ	3,666666667	3,666666667	5,333333333	1,45
AMAZ	2006	MAIZ	40,8	40,6	93,6	1,572
AMAZ	2007	AHUYAMA	10	10	38	3,8
AMAZ	2007	AJI	14	14	17,5	1,25
AMAZ	2007	ARROZ	11,66666667	11,33333333	6,333333333	0,786666667
AMAZ	2007	BATATA	3	3	5	1,5
AMAZ	2007	CEBOLLA DE RAMA	21	21	21,5	1,015
AMAZ	2007	CILANTRO	15,5	15,5	16	1,025
AMAZ	2007	FRIJOL	8	8	6	0,72
AMAZ	2007	HABICHUELA	3	3	1	0,33
AMAZ	2007	MAIZ	87,85714286	86,42857143	215,2857143	1,954285714
AMAZ	2007	MANI	6	6	5	0,83
AMAZ	2007	NAME	3	3	5	1,67
AMAZ	2007	PATILLA	7	7	26,5	3,75
AMAZ	2007	PEPINO COHOMBRO	11,5	11,5	29	2,52
AMAZ	2007	PIMENTON	24,5	24,5	60,5	2,465
AMAZ	2007	PLATANO	186,6	179	591,2	3,202
AMAZ	2007	SACHA INCHI	1	1	1	0,6
AMAZ	2007	TOMATE	21,5	21,5	54	2,51
AMAZ	2007	YUCA	251,25	234	739	3,3725
AMAZ	2008	AGUACATE	35	13,5	84,5	6,26
AMAZ	2008	AHUYAMA	12	12	45,5	3,79
AMAZ	2008	AJI	17,5	17,5	22	1,26
AMAZ	2008	ARAZA	109,5	54	169,5	3,12
AMAZ	2008	ARROZ	16,6	16,6	9,2	0,732
AMAZ	2008	ASAI	77	31	787,5	25,465
AMAZ	2008	BACURI	5	2	8	4
AMAZ	2008	BANANO	64,5	64,5	227	3,65
AMAZ	2008	BATATA	4	4	6	1,5
AMAZ	2008	BOROJO	7	3	9	3
AMAZ	2008	CEBOLLA DE RAMA	20,5	20,5	21	1,02
AMAZ	2008	CHONTADURO	21	9	168,5	18,7
AMAZ	2008	CILANTRO	19,5	19,5	20	1,02
AMAZ	2008	COCO	24	10,5	68,5	6,53
AMAZ	2008	COPOAZU	132	56	339	6,05
AMAZ	2008	FRIJOL	10,25	10,25	8	0,7875
AMAZ	2008	FRUTALES VARIOS	118,5	56	207	3,69
AMAZ	2008	GUAMA	54,5	20	61,5	3,085
AMAZ	2008	GUANABANA	19,5	8	47	5,925
AMAZ	2008	GUAYABA	23	16	80	5
AMAZ	2008	HABICHUELA	3	3	1	0,33
AMAZ	2008	LIMON	16	6,5	30,5	4,665
AMAZ	2008	MACADAMIA	5	2	9	4,5
AMAZ	2008	MAIZ	117,4285714	117,2857143	292,1428571	1,957142857
AMAZ	2008	MALANGA	1	1	4	3,8
AMAZ	2008	MANDARINA	6,5	2,5	19	7,585
AMAZ	2008	MANI	7	7	5,5	0,785
AMAZ	2008	NAME	4	4	6	1,5
AMAZ	2008	NARANJA	11,5	5	38	7,62
AMAZ	2008	PAPAYA	6	2	6	3
AMAZ	2008	PATILLA	11,5	11,5	43	3,73
AMAZ	2008	PEPA DE PAN	3	1	1	1
AMAZ	2008	PEPINO COHOMBRO	17,5	17,5	44	2,515
AMAZ	2008	PIMENTON	31,25	31,25	77,25	2,46
AMAZ	2008	PINA	113	113	345	3,05
AMAZ	2008	PLATANO	158	153	455,5	2,985
AMAZ	2008	POMARROSA	8,5	3	23	7,67
AMAZ	2008	SACHA INCHI	1	1	1	0,6
AMAZ	2008	TOMATE	28,25	28,25	71,25	2,525
AMAZ	2008	UMARI	23	16	60	3,75
AMAZ	2008	UVA CAIMARONA	117	45	338	7,51
AMAZ	2008	YUCA	157	144,3333333	518,3333333	3,59
AMAZ	2008	ZAPOTE	2	1	19	18,75
AMAZ	2009	AJI	7,5	7	2,5	0,4
AMAZ	2009	ARAZA	31	28	140	5
AMAZ	2009	ARROZ	60	55	27,5	0,5
AMAZ	2009	ASAI	24	22	76	3,615
AMAZ	2009	CHONTADURO	13	11	61	5,5
AMAZ	2009	COPOAZU	47	43,5	180	3,9
AMAZ	2009	GUAMA	24,5	23,5	53	2,25
AMAZ	2009	MAIZ	246,5	239,5	359,5	1,5
AMAZ	2009	PEPINO COHOMBRO	4,5	4	3,5	0,95
AMAZ	2009	PIMENTON	6,5	6	4,5	0,725
AMAZ	2009	SACHA INCHI	1	1	1	0,6
AMAZ	2009	TOMATE	8	7	5	0,71
AMAZ	2009	UVA CAIMARONA	36,5	34,5	111	3,61
AMAZ	2009	YUCA	346	228,5	743	3,145
AMAZ	2010	AGUAJE	28,5	26,5	156,5	5,9
AMAZ	2010	AJI	11,25	11,25	4,5	0,4
AMAZ	2010	ARAZA	31,5	29	145	5
AMAZ	2010	ARROZ	23	18	9,25	0,5
AMAZ	2010	ASAI	24,5	22,5	76,5	3,6
AMAZ	2010	CAIMO	25	23	51	2,2
AMAZ	2010	CEBOLLA DE RAMA	6	5,5	4,5	0,8
AMAZ	2010	CHONTADURO	13	12	66	5,5
AMAZ	2010	CILANTRO	11,25	10	5,25	0,45
AMAZ	2010	COPOAZU	49,5	46	184,5	3,9
AMAZ	2010	GUAMA	24,5	22,5	51	2,25
AMAZ	2010	MAIZ	145	125	187,5	1,5
AMAZ	2010	PIMENTON	6,5	6,5	5	0,7
AMAZ	2010	PINA	32,5	25	25	1
AMAZ	2010	PLATANO	120	95	335	3,5
AMAZ	2010	UVA CAIMARONA	37,5	34	113,5	3,6
AMAZ	2010	YUCA	360	320	640	2
AMAZ	2011	AGUAJE	29	26,5	156,5	5,9
AMAZ	2011	AJI	11,75	10,75	4,5	0,4
AMAZ	2011	ARAZA	32,5	29	145	5
AMAZ	2011	ARROZ	18	16	8,25	0,5
AMAZ	2011	ASAI	25,5	23,5	128,5	5,45
AMAZ	2011	CHONTADURO	13	12	28	2,3
AMAZ	2011	CILANTRO	11,5	10,25	5,5	0,45
AMAZ	2011	COPOAZU	51	46,5	185	3,85
AMAZ	2011	GUAMA	25	23	84	3,85
AMAZ	2011	MAIZ	122,5	111,25	167	1,5
AMAZ	2011	PIMENTON	7,5	6,75	4,75	0,7
AMAZ	2011	PINA	25	23	23	1
AMAZ	2011	PLATANO	110	95	335	3,5
AMAZ	2011	UVA CAIMARONA	37,5	34,5	62	1,8
AMAZ	2011	YUCA	395	372,5	745	2
AMAZ	2012	AGUAJE	20	15	89	5,9
AMAZ	2012	AJI	9,5	6,5	2,5	0,4
AMAZ	2012	ARAZA	19,5	16	80	5
AMAZ	2012	ARROZ	10,5	7	7	1
AMAZ	2012	ASAI	18	14,5	79,5	5,45
AMAZ	2012	CHONTADURO	8	8	18	2,3
AMAZ	2012	CILANTRO	9,5	5	15	3
AMAZ	2012	COPOAZU	35	22	90	3,85
AMAZ	2012	GUAMA	20	16,5	49	3,85
AMAZ	2012	MAIZ	82,5	60	90	1,5
AMAZ	2012	PIMENTON	6,5	5	3,5	0,7
AMAZ	2012	PINA	10	5	5	1
AMAZ	2012	PLATANO	95	35	120	3,5
AMAZ	2012	UVA CAIMARONA	22,5	17,5	31,5	1,8
AMAZ	2012	YUCA	159	102,5	205	2
AMAZ	2013	AGUAJE	17	11	65	5,9
AMAZ	2013	AJI	5,25	4	2	0,4
AMAZ	2013	ARAZA	19,5	10,5	52,5	5
AMAZ	2013	ASAI	16	10	54	5,4
AMAZ	2013	CILANTRO	4	2,5	7,5	3
AMAZ	2013	COPOAZU	31,5	22,5	124	5,5
AMAZ	2013	GUAMA	16	10	23	2,3
AMAZ	2013	HORTALIZAS VARIAS	6,5	5,5	3,75	0,7
AMAZ	2013	MAIZ	43,75	36,25	54,5	1,5
AMAZ	2013	PINA	12,5	10	10	1
AMAZ	2013	PLATANO	80	64	232	3,5
AMAZ	2013	YUCA	172,5	132,5	503,5	3,8
AMAZ	2014	AGUACATE	17,5	12	69,5	5,5
AMAZ	2014	AGUAJE	17	12	71	5,9
AMAZ	2014	AJI	9,5	8	4,25	0,5
AMAZ	2014	ARAZA	22,5	13,5	67,5	5
AMAZ	2014	ASAI	17	11,5	62	5,4
AMAZ	2014	CHONTADURO	16	11,5	67,5	5,85
AMAZ	2014	CILANTRO	9,75	8,25	4,5	0,5
AMAZ	2014	CITRICOS	14	10,5	27,5	2,5
AMAZ	2014	COPOAZU	32,5	26	143,5	5,5
AMAZ	2014	GUAMA	17,5	11	35,5	3,15
AMAZ	2014	HORTALIZAS VARIAS	11,5	9,75	6,75	0,7
AMAZ	2014	MAIZ	32,5	29,5	44,75	1,5
AMAZ	2014	PINA	17,5	14	14	1
AMAZ	2014	PLATANO	65	40	140	3,5
AMAZ	2014	SACHA INCHI	2	2	4	2
AMAZ	2014	YUCA	147,5	117,5	235	2
AMAZ	2015	AGUACATE	17,5	13,5	78,5	5,5
AMAZ	2015	AGUAJE	17	14	83	5,9
AMAZ	2015	AJI	6,5	6	3	0,45
AMAZ	2015	ARAZA	22,5	15	75	5
AMAZ	2015	ARROZ	10	8,666666667	20,33333333	2,6
AMAZ	2015	ASAI	17	13	70,5	5,4
AMAZ	2015	CHONTADURO	20,5	15	88,5	5,85
AMAZ	2015	CILANTRO	5	3,5	1,75	0,5
AMAZ	2015	CITRICOS	14	13	34,5	2,5
AMAZ	2015	COPOAZU	32,5	27,5	151,5	5,5
AMAZ	2015	GUAMA	17,5	14	47,5	3,15
AMAZ	2015	HABICHUELA	1	0	0	0,5
AMAZ	2015	HORTALIZAS VARIAS	20	19	13	0,7
AMAZ	2015	MAIZ	36,66666667	33	45,66666667	1,386666667
AMAZ	2015	PEPINO COHOMBRO	1,5	1,5	2,5	2,27
AMAZ	2015	PINA	17,5	17,5	17,5	1
AMAZ	2015	PLATANO	152,5	135	675	5
AMAZ	2015	SACHA INCHI	60	20	10	0,5
AMAZ	2015	TOMATE	4	2,666666667	2,666666667	1
AMAZ	2015	YUCA	201	187,5	375	2
AMAZ	2016	AGUACATE	17,5	17,5	104	5,75
AMAZ	2016	AGUAJE	17	17	101,5	5,95
AMAZ	2016	AJI	4,666666667	4,666666667	2,333333333	0,533333333
AMAZ	2016	ARAZA	22,5	22,5	152,5	6,25
AMAZ	2016	ARROZ	17	14	42	3
AMAZ	2016	ASAI	17,5	17	97	5,7
AMAZ	2016	BATATA	60	60	60	1
AMAZ	2016	CHONTADURO	20,5	19	114	6
AMAZ	2016	CILANTRO	1,25	1,25	1,25	0,75
AMAZ	2016	CITRICOS	14	13	34,5	2,5
AMAZ	2016	COPOAZU	25	22,5	130	5,75
AMAZ	2016	FRUTALES VARIOS	77,5	34,5	220	7,5
AMAZ	2016	HORTALIZAS VARIAS	22	19	19	1
AMAZ	2016	MAIZ	36,66666667	36,33333333	57,66666667	1,6
AMAZ	2016	NAME	153	150,5	702,5	3
AMAZ	2016	PATILLA	1	1	0,5	0,6
AMAZ	2016	PEPINO COHOMBRO	1	1	1	0,85
AMAZ	2016	PIMENTON	1	1	1,25	0,85
AMAZ	2016	PLATANO	222,5	171,5	857,5	5
AMAZ	2016	SACHA INCHI	62	30	30	1
AMAZ	2016	TOMATE	1	1	1	0,75
AMAZ	2016	YUCA	512	512	5120	10
AMAZ	2017	AJI	2	1	4	3
AMAZ	2017	ARAZA	18	13,5	136	10
AMAZ	2017	ARROZ	31	28,5	63,5	2,25
AMAZ	2017	ASAI	52,5	37	149	4
AMAZ	2017	CAIMO	55	55	55	1
AMAZ	2017	CHONTADURO	69	61	152	2,5
AMAZ	2017	CILANTRO	1	1	5	6
AMAZ	2017	COPOAZU	36	30	125,5	3,75
AMAZ	2017	FRIJOL	2,5	2	1,5	0,8
AMAZ	2017	MAIZ	23	19,33333333	12	0,833333333
AMAZ	2017	PEPINO COHOMBRO	1	1	1	2,2
AMAZ	2017	PIMENTON	2	2	1	0,5
AMAZ	2017	PLATANO	316	62,5	312,5	5
AMAZ	2017	SACHA INCHI	64	60	30	0,5
AMAZ	2017	UVA CAIMARONA	27,5	15,5	2	0,135
AMAZ	2018	AJI	2	2	6	3
AMAZ	2018	ARAZA	28,5	15,5	159	10
AMAZ	2018	ASAI	73	44	176,5	4
AMAZ	2018	CAIMO	55	53	53	1
AMAZ	2018	CHONTADURO	75	60	181	3
AMAZ	2018	CILANTRO	2	2	12	6,02
AMAZ	2018	COPOAZU	46,5	34	148	3,75
AMAZ	2018	FRIJOL	5	5	4	0,8
AMAZ	2018	MAIZ	10	10	10	1
AMAZ	2018	PEPINO COHOMBRO	1	1	2	2,27
AMAZ	2018	PLATANO	316	268,5	1342,5	5
AMAZ	2018	SACHA INCHI	64	64	95	1,5
AMAZ	2018	UVA CAIMARONA	31	15	8	1,05
AMAZ	2019	AHUYAMA	2,5	2,1	10,6	5,666666667
AMAZ	2019	AJI	2,5	2,325	3,185	1,4625
AMAZ	2019	ARAZA	37	26,5	65	2,75
AMAZ	2019	ASAI	104,5	57,5	356	6
AMAZ	2019	CAIMO	55	55	82,5	1,5
AMAZ	2019	CEBOLLA DE BULBO	1,5	1,5	30	20
AMAZ	2019	CHONTADURO	88	69	779,7	11,3
AMAZ	2019	CILANTRO	7,25	7,05	40,51	4,4675
AMAZ	2019	COPOAZU	63	28	103,5	3,25
AMAZ	2019	FRIJOL	1,666666667	1,333333333	1,1	0,866666667
AMAZ	2019	MAIZ	57,5	49,5	91,8325	1,81
AMAZ	2019	PATILLA	4	3,2	11,84	3,7
AMAZ	2019	PEPINO COHOMBRO	3,333333333	3	21,33333333	9,666666667
AMAZ	2019	PIMENTON	4,75	4,2	5,92	1,25
AMAZ	2019	SACHA INCHI	64	20	100	5
AMAZ	2019	UVA CAIMARONA	50	33,5	95,25	2,75
AMAZ	2020	AHUYAMA	13	10	37	3,7
AMAZ	2020	AJI	6,68	5,93	3,685	0,95
AMAZ	2020	ARAZA	42	37	158,75	4,25
AMAZ	2020	ARROZ	5	3,6	5,57	1,55
AMAZ	2020	ASAI	85	85	434	5
AMAZ	2020	BATATA	4	2,9	4,35	1,5
AMAZ	2020	CAIMO	47	47	94	2
AMAZ	2020	CEBOLLA DE BULBO	10	8,05	68,425	8,5
AMAZ	2020	CHONTADURO	75	75	1140	15,2
AMAZ	2020	CILANTRO	10,4	9,325	5,48	1,025
AMAZ	2020	COPOAZU	82,5	63	337,5	5,3
AMAZ	2020	FRIJOL	5	3,566666667	2,63	0,866666667
AMAZ	2020	LECHUGA	15	11	121	11
AMAZ	2020	MAIZ	59,75	56,75	118,1	1,95
AMAZ	2020	MELON	7,5	5,5	57,75	10,5
AMAZ	2020	NAME	6	3,45	5,52	1,6
AMAZ	2020	PATILLA	11,5	8,1	29,97	3,7
AMAZ	2020	PEPINO COHOMBRO	5,75	4,25	8,825	1,3
AMAZ	2020	PIMENTON	5	3,825	8,4475	1,95
AMAZ	2020	SACHA INCHI	36	36	72	2
AMAZ	2020	TOMATE	11,5	9	20,7	2,3
AMAZ	2020	UVA CAIMARONA	51	47	210	4,5
AMAZ	2021	AHUYAMA	13,5	11	56	5
AMAZ	2021	AJI	7,435	6,18	3,825	0,925
AMAZ	2021	ARAZA	41	41	164	4
AMAZ	2021	ARROZ	5	3,75	6,7	1,695
AMAZ	2021	ASAI	80	80	453,5	5,5
AMAZ	2021	BATATA	2,5	1,5	2,75	1,875
AMAZ	2021	CAIMO	42	40	96	2,4
AMAZ	2021	CEBOLLA DE RAMA	8,5	7	56	8
AMAZ	2021	CHONTADURO	70	70	840	12
AMAZ	2021	CILANTRO	12,15	10,825	58,9875	3,75
AMAZ	2021	COPOAZU	79,5	74,5	441,5	6
AMAZ	2021	FRIJOL	6,333333333	5,333333333	4,433333333	0,933333333
AMAZ	2021	LECHUGA	15	13	130	10
AMAZ	2021	MAIZ	57,5	52,25	56,295	1,18
AMAZ	2021	MELON	8,5	6,4	60,6	9,75
AMAZ	2021	NAME	5,5	4,5	8,375	1,875
AMAZ	2021	PATILLA	14	12	44,4	3,7
AMAZ	2021	PEPINO COHOMBRO	6,225	5,225	14,975	2,125
AMAZ	2021	PIMENTON	5,55	5,05	12,605	2,075
AMAZ	2021	SACHA INCHI	36	36	72	2
AMAZ	2021	TOMATE	11	9,5	28,5	3
AMAZ	2021	UVA CAIMARONA	54	46,5	204,5	4,5
AMAZ	2022	AHUYAMA	13,5	13,5	69	5
AMAZ	2022	AJI	7,625	7,625	4,725	0,8
AMAZ	2022	ARAZA	43,5	41	188	4,5
AMAZ	2022	ARROZ	5	5	9,225	1,84
AMAZ	2022	ASAI	84,5	80	453,5	5,5
AMAZ	2022	BATATA	2,5	2,5	4,625	1,875
AMAZ	2022	CAIMO	42	42	100,8	2,4
AMAZ	2022	CEBOLLA DE RAMA	8,5	8,5	68	8
AMAZ	2022	CHONTADURO	70	70	840	12
AMAZ	2022	CILANTRO	12,45	12,375	66,9375	3,75
AMAZ	2022	COPOAZU	80,5	79,5	466,5	6
AMAZ	2022	FRIJOL	9	9	8,1	0,9
AMAZ	2022	LECHUGA	15	15	150	10
AMAZ	2022	MAIZ	62	58,5	61,8	1,1375
AMAZ	2022	MELON	10	7	63	9
AMAZ	2022	NAME	5,5	5,5	10,25	1,875
AMAZ	2022	PATILLA	11,5	14	51,8	3,7
AMAZ	2022	PEPINO COHOMBRO	6,625	6,5	18,5	2,125
AMAZ	2022	PIMENTON	6	6	14,55	2,05
AMAZ	2022	SACHA INCHI	20	20	40	2
AMAZ	2022	TOMATE	10	10	30	3
AMAZ	2022	UVA CAIMARONA	54	54	242	4,5
AMAZ	2022	YUCA	45	45	405	4,5
AMAZ	2023	AHUYAMA	13,5	13,5	57,75	4,25
AMAZ	2023	AJI	7,675	7,675	4,775	0,8
AMAZ	2023	ARAZA	44,5	40,5	186	4,5
AMAZ	2023	ARROZ	9	8	14,28	1,78
AMAZ	2023	ASAI	86,5	79,5	451,5	5,5
AMAZ	2023	BATATA	2,5	2,5	4,625	1,875
AMAZ	2023	CAIMO	42	42	100,8	2,4
AMAZ	2023	CEBOLLA DE RAMA	8,5	8,5	68	8
AMAZ	2023	CHONTADURO	70	70	840	12
AMAZ	2023	CILANTRO	12,575	12,55	67,2	3,75
AMAZ	2023	COPOAZU	86,5	79,5	466,5	6
AMAZ	2023	FRIJOL	9	9	8,1	0,9
AMAZ	2023	LECHUGA	15	15	150	10
AMAZ	2023	MAIZ	62,725	61,375	65,35	1,15
AMAZ	2023	MELON	8,5	8,5	76,5	9
AMAZ	2023	NAME	5,5	5,5	10,25	1,875
AMAZ	2023	PATILLA	11,5	11,5	43,15	3,75
AMAZ	2023	PEPINO COHOMBRO	6,65	6,65	22,605	2,475
AMAZ	2023	PIMENTON	6,025	6,025	13,9875	2
AMAZ	2023	SACHA INCHI	20	19,5	39	2
AMAZ	2023	TOMATE	10	10	30	3
AMAZ	2023	UVA CAIMARONA	54,25	54	242	4,5
AMAZ	2023	YUCA	46	46	414	4,5
ANTI	2006	AJO	3	3	21	7
ANTI	2006	APIO	23	23	505	21,5
ANTI	2006	ARROZ	164,5333333	157,8666667	315,0666667	2,323333333
ANTI	2006	ARVEJA	42	42	84	2
ANTI	2006	CEBOLLA DE BULBO	12	12	168	14
ANTI	2006	CILANTRO	28	28	168	6
ANTI	2006	COLIFLOR	7,5	7,5	177,5	23
ANTI	2006	ESPINACA	14	14	252	18
ANTI	2006	FRIJOL	42	39,18666667	41,33333333	1,1028
ANTI	2006	LECHUGA	8	8	160	20
ANTI	2006	MAIZ	106,575	99,525	150,325	1,341625
ANTI	2006	PAPA	87,88235294	85,58823529	1254,764706	15,47647059
ANTI	2006	PEPINO COHOMBRO	8	8	120	15
ANTI	2006	PIMENTON	18,33333333	18,33333333	245,3333333	13,33333333
ANTI	2006	REMOLACHA	7,5	7,5	139,5	19,5
ANTI	2006	REPOLLO	5	5	200	40
ANTI	2006	TOMATE	10,59090909	10,13636364	193,5	18,49590909
ANTI	2006	ZANAHORIA	6	6	72	12
ANTI	2007	AGUACATE	42,31578947	28,63157895	286,3157895	8,718947368
ANTI	2007	AHUYAMA	50	50	500	10
ANTI	2007	AJI	4	4	18	4,5
ANTI	2007	AJO	2,5	2,5	17,5	7
ANTI	2007	APIO	23	23	505	21,5
ANTI	2007	ARRACACHA	40,66666667	40,66666667	660	16,25
ANTI	2007	ARROZ	212,0322581	187,0645161	368,6129032	2,202580645
ANTI	2007	ARVEJA	20,4	20	34,4	1,704
ANTI	2007	BANANITO	82	81	721,25	8,75
ANTI	2007	BANANO	50,66666667	44	311,3333333	7,066666667
ANTI	2007	BOROJO	37,33333333	24,33333333	82,33333333	3,403333333
ANTI	2007	BREVO	7	7	65	9,5
ANTI	2007	CEBOLLA DE BULBO	12	12	168	14
ANTI	2007	CEBOLLA DE RAMA	16,25	16,25	446,5	24
ANTI	2007	CHIRIMOYA	33	33	99	3
ANTI	2007	CHONTADURO	23	8	160	20
ANTI	2007	CILANTRO	14,8	14,8	91,2	5,9
ANTI	2007	CITRICOS	20,5	19,25	183,75	9,4375
ANTI	2007	COCO	41	41	246	6
ANTI	2007	COL	16	16	80	5
ANTI	2007	COLIFLOR	6,5	6,5	152,5	23
ANTI	2007	ESPINACA	11,66666667	11,66666667	196	16
ANTI	2007	FRESA	12	12	84	7
ANTI	2007	FRIJOL	31,35820896	28,04477612	29,36567164	1,086641791
ANTI	2007	GRANADILLA	11	9	96,5	10,835
ANTI	2007	GUANABANA	34,5	34,5	139,3333333	4,583333333
ANTI	2007	GUAYABA	29,5	29,33333333	156	5,073333333
ANTI	2007	HABICHUELA	40	36	72	2
ANTI	2007	LECHUGA	6,333333333	6,333333333	103,3333333	15
ANTI	2007	LIMA	12,2	12,2	229	19,78
ANTI	2007	LIMON	55	55	407,5	10,9175
ANTI	2007	LULO	10,4	9,4	72,8	6,9
ANTI	2007	MAIZ	100,6357616	95,81456954	150,2913907	1,379735099
ANTI	2007	MAMONCILLO	37	37	370	10
ANTI	2007	MANDARINA	22,33333333	14	296	17,305
ANTI	2007	MANGO	56,42857143	49,28571429	427,4285714	9,358571429
ANTI	2007	MARACUYA	21,2	17,6	220,2	12,402
ANTI	2007	MORA	86	70,91666667	626,0833333	8,764166667
ANTI	2007	NAME	92,125	74,375	925	12,25
ANTI	2007	NARANJA	35	23,3	360,7	16,006
ANTI	2007	PALMA DE ACEITE	242,5	215,5	454,5	2,085
ANTI	2007	PAPA	78,15384615	76,17948718	1107,461538	15,41205128
ANTI	2007	PAPAYA	8	4	30	7,53
ANTI	2007	PATILLA	50	50	500	10
ANTI	2007	PEPINO COHOMBRO	5,25	5	74,25	14,75
ANTI	2007	PIMENTON	13,33333333	13,33333333	171,3333333	12,83333333
ANTI	2007	PINA	18,33333333	17	161	9,92
ANTI	2007	PLATANO	156,5769231	141,3461538	722,7564103	4,845
ANTI	2007	REMOLACHA	7,5	7,5	139,5	19,5
ANTI	2007	REPOLLO	5,5	5,25	170	32,5
ANTI	2007	TAMARINDO	26,5	26,5	223,5	7,5
ANTI	2007	TANGELO	34,66666667	27	611,3333333	19,9
ANTI	2007	TOMATE	10,17948718	9,333333333	187,6410256	19,54435897
ANTI	2007	TOMATE DE ARBOL	20,5	18,5	242,125	14,1625
ANTI	2007	UCHUVA	23,5	12,33333333	198,3333333	17,36666667
ANTI	2007	YUCA	110,42	100,42	1361,8	13,2624
ANTI	2007	ZANAHORIA	7	6,75	100,5	14
ANTI	2007	ZAPOTE	34,5	27	560	15,2
ANTI	2008	AGUACATE	50,22222222	26,07407407	217,6296296	7,68962963
ANTI	2008	AJI	19,66666667	17,66666667	57	4
ANTI	2008	AJO	4	4	28	7
ANTI	2008	APIO	23	23	505	21,5
ANTI	2008	ARRACACHA	50,33333333	50,33333333	877	17
ANTI	2008	ARROZ	249,7096774	213,3548387	437,6129032	2,261935484
ANTI	2008	ARVEJA	21	19,57142857	31,14285714	1,567142857
ANTI	2008	BANANITO	93,66666667	92	769,6666667	8,533333333
ANTI	2008	BANANO	53,66666667	43,66666667	356	8,266666667
ANTI	2008	BOROJO	54	33	109,5	3,3
ANTI	2008	BREVO	7	7	65	9,5
ANTI	2008	CEBOLLA DE BULBO	12	12	168	14
ANTI	2008	CEBOLLA DE RAMA	23	20,5	506,75	22,125
ANTI	2008	CHIRIMOYA	33	33	99	3
ANTI	2008	CHONTADURO	23	8	160	20
ANTI	2008	CILANTRO	12,57142857	12,42857143	79	6,071428571
ANTI	2008	CITRICOS	22,6	21,2	278,2	14,27
ANTI	2008	COCO	41	41	243	6
ANTI	2008	COL	16	16	80	5
